name,poi_id,osm_way_id,osm_relation_id,building,amenity,leisure,way,geometry,centroid,area,area_ft2
,386,238121268,,yes,,,,"POLYGON ((-76.4645033 42.4803872, -76.4646914 42.4803809, -76.4646928 42.4804048, -76.4647291 42.4804036, -76.4647302 42.4804018, -76.4647817 42.4803993, -76.4647834 42.4804014, -76.4648162 42.4804003, -76.4648148 42.4803769, -76.4650378 42.4803697, -76.4650285 42.4802155, -76.4650149 42.4802159, -76.4650141 42.4802016, -76.4648599 42.4802067, -76.4648525 42.4800838, -76.464811 42.4800852, -76.4648107 42.4800809, -76.4646066 42.4800877, -76.4646153 42.4802302, -76.4644939 42.4802343, -76.4645033 42.4803872))",POINT (-76.4647597 42.4802602),1114.0,11990.6
,387,238121269,,yes,,,,"POLYGON ((-76.4641064 42.4796997, -76.4642645 42.479694, -76.4642654 42.4797072, -76.4644651 42.4797001, -76.4644525 42.4795074, -76.4643589 42.4795107, -76.4643483 42.4793478, -76.4643766 42.4793468, -76.4643707 42.4792559, -76.4642193 42.4792613, -76.4642206 42.4792805, -76.4640806 42.4792854, -76.4640794 42.4792666, -76.4639583 42.4792708, -76.4639657 42.4793848, -76.4639918 42.4793839, -76.4639977 42.479474, -76.464117 42.4794698, -76.4641187 42.4794953, -76.4640931 42.4794962, -76.4641064 42.4796997))",POINT (-76.4642233 42.4794794),1420.6,15290.8
,388,238121270,,yes,,,,"POLYGON ((-76.4639916 42.4798427, -76.4639923 42.479877, -76.4639951 42.4798776, -76.4639971 42.4799218, -76.463995 42.4799221, -76.4639982 42.4799569, -76.4640377 42.4799556, -76.4640591 42.4803054, -76.4640185 42.4803067, -76.4640276 42.4804283, -76.4642129 42.4804227, -76.4642089 42.4803712, -76.4643034 42.48037, -76.4642814 42.4800418, -76.4644136 42.4800357, -76.4644113 42.4800011, -76.464445 42.4799996, -76.4644392 42.479926, -76.4644064 42.4799276, -76.4644037 42.4798912, -76.4642678 42.4798963, -76.4642678 42.4798559, -76.4641557 42.4798634, -76.464154 42.4798364, -76.4639916 42.4798427))",POINT (-76.464181 42.4801069),1492.2,16061.5
Center Ithaca,389,240820965,,apartments,,,,"POLYGON ((-76.4973618 42.4391162, -76.4973735 42.4394861, -76.4969298 42.4394973, -76.4966884 42.4395049, -76.4965422 42.4395088, -76.4965213 42.4391424, -76.4973618 42.4391162))",POINT (-76.4969502 42.4393128),2811.3,30260.4
State Theatre,390,240821900,,yes,theatre,,,"POLYGON ((-76.4993899 42.4394336, -76.4997603 42.4394242, -76.4997512 42.4392112, -76.499862 42.4392083, -76.4998533 42.4390583, -76.4997918 42.439059, -76.499468 42.4390612, -76.4993975 42.4390643, -76.4993695 42.4390755, -76.4993744 42.4391655, -76.4993815 42.4392696, -76.4993899 42.4394336))",POINT (-76.4995914 42.4392328),1403.6,15108.1
High Rise 5,391,241061329,,dormitory,,,,"POLYGON ((-76.4765796 42.4562046, -76.4766055 42.4561378, -76.4766462 42.4561463, -76.4766656 42.4560961, -76.4766317 42.4560889, -76.4766704 42.455989, -76.476796 42.4560155, -76.4768062 42.4559892, -76.4768385 42.455996, -76.4768287 42.4560213, -76.4769958 42.4560566, -76.4769601 42.4561486, -76.4769163 42.4561394, -76.4769114 42.4561521, -76.4769071 42.4561631, -76.4769517 42.4561725, -76.4769102 42.4562798, -76.4767403 42.456244, -76.4767325 42.4562641, -76.4766927 42.4562557, -76.4767024 42.4562305, -76.4765796 42.4562046))",POINT (-76.4767913 42.4561336),703.1,7568.3
Robert Purcell Community Center,392,241061691,,yes,community_centre,,,"POLYGON ((-76.4775319 42.4562213, -76.4774282 42.4561934, -76.4774248 42.4562003, -76.4773238 42.4561731, -76.4773328 42.456155, -76.4772275 42.4561266, -76.477222 42.4561379, -76.4771414 42.4561162, -76.4771779 42.4560424, -76.4771415 42.4560326, -76.4771593 42.4559966, -76.4771257 42.4559876, -76.4771353 42.4559681, -76.4771068 42.4559604, -76.4771352 42.455903, -76.4771456 42.455882, -76.4771525 42.4558681, -76.477175 42.4558226, -76.4771995 42.4558292, -76.4772083 42.4558115, -76.4771966 42.4558083, -76.4772319 42.4557369, -76.4772137 42.4557319, -76.4772399 42.4556788, -76.4773378 42.4557052, -76.4773353 42.4557103, -76.4773589 42.4557167, -76.477378 42.4556782, -76.4774241 42.4556906, -76.4774345 42.4556696, -76.4774503 42.4556738, -76.4774584 42.4556574, -76.4775656 42.4556863, -76.477572 42.4556734, -76.4776745 42.455701, -76.4776681 42.4557139, -76.4777247 42.4557291, -76.4777742 42.4557425, -76.4777796 42.4557317, -76.4778577 42.4557528, -76.4778217 42.4558257, -76.4778141 42.4558236, -76.4778057 42.4558405, -76.4778553 42.4558539, -76.4778368 42.4558913, -76.4778946 42.4559068, -76.4778513 42.4559943, -76.4778595 42.4559965, -76.4778219 42.4560725, -76.4778042 42.4560677, -76.4777641 42.4561489, -76.4777817 42.4561537, -76.4777545 42.4562088, -76.4776247 42.4561739, -76.4776131 42.4561975, -76.4775518 42.456181, -76.4775319 42.4562213))",POINT (-76.4775015 42.4559388),2924.6,31479.8
Seneca Place on the Commons,393,242305395,,hotel,,,,"POLYGON ((-76.4976942 42.4409235, -76.4976742 42.4405354, -76.4969794 42.4405548, -76.4969933 42.4408262, -76.4972983 42.4408177, -76.4973043 42.4409344, -76.4976942 42.4409235))",POINT (-76.4973654 42.4407177),2140.8,23043.0
Carey Building,394,242549316,,retail,,,,"POLYGON ((-76.4950727 42.4396837, -76.4948068 42.4396551, -76.4947896 42.4397336, -76.494783 42.4398498, -76.4950454 42.4398509, -76.4950727 42.4396837))",POINT (-76.4949218 42.4397591),446.7,4808.5
The Clinton House,395,242549410,,yes,,,,"POLYGON ((-76.4993736 42.4402117, -76.4993363 42.4402137, -76.499254 42.4402181, -76.4992234 42.4402249, -76.4992122 42.4402274, -76.49918 42.4402287, -76.4991745 42.4400618, -76.4992078 42.4400597, -76.499201 42.4399817, -76.499501 42.4399704, -76.4995123 42.4400445, -76.4995166 42.4401024, -76.4996312 42.4400979, -76.499638 42.440191, -76.4993969 42.4402006, -76.4993736 42.4402117))",POINT (-76.4993753 42.4401028),800.1,8611.8
Ithaca Former Masonic Temple,396,243729592,,temple,,,,"POLYGON ((-76.4988381 42.4402803, -76.4988352 42.4402231, -76.4988876 42.4402217, -76.4988824 42.44012, -76.4988293 42.4401215, -76.4988269 42.440075, -76.4987249 42.4400778, -76.4987267 42.4401116, -76.4986301 42.4401143, -76.4986222 42.4399615, -76.4984649 42.4399659, -76.4984787 42.4402333, -76.49852 42.4402321, -76.4985229 42.4402892, -76.4988381 42.4402803))",POINT (-76.4986475 42.4401505),838.0,9019.8
The Dewitt Mall,397,243730678,,school,,,,"POLYGON ((-76.4989291 42.4406598, -76.4989258 42.4405862, -76.4988118 42.440589, -76.4988108 42.4405668, -76.4987508 42.4405683, -76.4987518 42.4405924, -76.4986233 42.4405955, -76.498622 42.4405681, -76.4985151 42.4405708, -76.4985164 42.4406006, -76.4983643 42.4406044, -76.4983678 42.4406817, -76.4983955 42.4406811, -76.4984098 42.441, -76.498293 42.4410029, -76.4982945 42.4410357, -76.4982586 42.4410365, -76.4982681 42.4412484, -76.4983994 42.4412452, -76.4983946 42.4411397, -76.4984801 42.4411376, -76.4984849 42.4412432, -76.4987055 42.4412378, -76.4987 42.4411169, -76.4987441 42.4411158, -76.4987433 42.4410983, -76.4989555 42.4410931, -76.4989521 42.4410175, -76.4989289 42.4410181, -76.4989227 42.4408809, -76.4989538 42.4408802, -76.4989503 42.4408024, -76.4989095 42.4408034, -76.4989031 42.4406604, -76.4989291 42.4406598))",POINT (-76.4986236 42.4409025),3101.2,33380.8
The Argos Inn,398,244783019,,hotel,,,,"POLYGON ((-76.4932512 42.439609, -76.4931178 42.439598, -76.4931148 42.4396176, -76.4930707 42.439614, -76.4930602 42.4396833, -76.4930966 42.4396863, -76.4930916 42.4397193, -76.4931582 42.4397248, -76.4931449 42.4398125, -76.4933028 42.4398255, -76.4933167 42.4397338, -76.4932333 42.4397269, -76.4932512 42.439609))",POINT (-76.4931904 42.4397096),312.2,3360.1
,399,247350469,,,,playground,,"POLYGON ((-76.504285 42.4497043, -76.5045331 42.449644, -76.5046471 42.449736, -76.5046538 42.4498043, -76.5046257 42.4498607, -76.5045787 42.4499092, -76.5045103 42.449927, -76.5044433 42.44992, -76.5043896 42.4498983, -76.504285 42.4497043))",POINT (-76.5044844 42.449785),650.3,6999.7
Community School of Music and Arts,400,249491529,,commercial,,,,"POLYGON ((-76.4945874 42.4399017, -76.4945886 42.4397485, -76.4946241 42.4397487, -76.4946245 42.4397057, -76.494591 42.4397056, -76.4945904 42.4396317, -76.4943296 42.4396061, -76.4943338 42.4399084, -76.4944575 42.4399089, -76.4944573 42.4399402, -76.4944953 42.4399403, -76.4944956 42.4399013, -76.4945874 42.4399017))",POINT (-76.4944609 42.4397635),699.2,7526.3
Chemung Canal Trust,401,253893873,,yes,bank,,,"POLYGON ((-76.5132772 42.4417399, -76.5132555 42.4413247, -76.513006 42.4413318, -76.5130217 42.4416318, -76.5130879 42.4416299, -76.5130917 42.4417016, -76.5132167 42.4416981, -76.5132189 42.4417416, -76.5132772 42.4417399))",POINT (-76.5131478 42.4415118),827.9,8911.3
Bryant Park,402,259094363,,,,park,,"POLYGON ((-76.4802003 42.4389697, -76.4801815 42.4389142, -76.4801574 42.4388806, -76.4803451 42.4387955, -76.4805678 42.4386747, -76.4807716 42.43855, -76.4808735 42.4385025, -76.4809996 42.4385738, -76.4810747 42.4386648, -76.4810988 42.4387876, -76.4810801 42.4388549, -76.4810506 42.4389301, -76.4809889 42.4390686, -76.4809674 42.4390805, -76.4807314 42.4390073, -76.4805114 42.4389736, -76.4802003 42.4389697))",POINT (-76.4807253 42.4388138),2749.1,29590.6
,403,260275264,,yes,,,,"POLYGON ((-76.489219 42.4877974, -76.4889076 42.4878083, -76.488898 42.4876593, -76.4892094 42.4876484, -76.489219 42.4877974))",POINT (-76.4890585 42.4877284),424.4,4567.8
,404,263530533,,,,pitch,,"POLYGON ((-76.5030061 42.442594, -76.5030217 42.4428945, -76.5027792 42.4429013, -76.5027636 42.4426009, -76.5030061 42.442594))",POINT (-76.5028927 42.4427477),666.3,7172.1
Weinhold Chilled Water Plant 1,405,274311775,,yes,,,,"POLYGON ((-76.4793546 42.4513925, -76.4793554 42.451221, -76.4792408 42.4512207, -76.4792409 42.4511997, -76.4791117 42.4511994, -76.4791104 42.4514672, -76.4792466 42.4514676, -76.479247 42.4513923, -76.4793546 42.4513925))",POINT (-76.4792201 42.4513248),500.3,5385.4
,406,276871988,,yes,,,,"POLYGON ((-76.5017435 42.4523144, -76.5017415 42.452272, -76.5018137 42.4522701, -76.5018103 42.4521992, -76.5015141 42.4522069, -76.5015195 42.4523202, -76.5017435 42.4523144))",POINT (-76.5016535 42.4522564),278.8,3001.5
Schoellkopf Memorial Hall,407,283402797,,university;yes,,,,"POLYGON ((-76.4782749 42.444903, -76.4783165 42.4449028, -76.4783172 42.4449514, -76.4783702 42.4449509, -76.4783695 42.4449008, -76.4789429 42.4448963, -76.4789438 42.4449589, -76.478996 42.4449585, -76.4789982 42.4451155, -76.478363 42.4451203, -76.4783627 42.4451023, -76.4782787 42.445103, -76.4782749 42.444903))",POINT (-76.4786381 42.4450107),1374.3,14792.4
Buttermilk Falls State Park,408,283662331,,,parking,,,"POLYGON ((-76.5214 42.4172567, -76.5212994 42.417158, -76.521063 42.4172913, -76.5209558 42.4171921, -76.520923 42.4171617, -76.520914 42.4171533, -76.5207 42.4172776, -76.5206151 42.4173926, -76.5194605 42.4180638, -76.519613 42.4181939, -76.5207755 42.4175412, -76.5209155 42.4175377, -76.5214 42.4172567))",POINT (-76.5204414 42.4176234),3893.6,41910.5
Anna Comstock Hall,409,286528540,,dormitory,,,,"POLYGON ((-76.4823742 42.4540128, -76.4822736 42.4540106, -76.4822818 42.4538011, -76.4824377 42.4538045, -76.4824332 42.4539195, -76.4823779 42.4539183, -76.4823742 42.4540128))",POINT (-76.4823465 42.4538964),250.7,2698.6
Anna Comstock Hall,410,286528542,,dormitory,,,,"POLYGON ((-76.4827036 42.454006, -76.4825952 42.4540061, -76.4825973 42.4539067, -76.4825416 42.4539061, -76.4825447 42.4538138, -76.4827071 42.4538152, -76.4827036 42.454006))",POINT (-76.4826353 42.4539006),235.4,2533.6
,411,293728324,,,,pitch,,"POLYGON ((-76.5064402 42.460836, -76.5062386 42.4605543, -76.5056042 42.4608014, -76.5058058 42.4610832, -76.5064402 42.460836))",POINT (-76.5060222 42.4608187),2086.6,22460.5
,412,300405630,,,parking,,,"POLYGON ((-76.5153697 42.4526517, -76.5157114 42.4528014, -76.5158253 42.4528565, -76.5159071 42.4528972, -76.5160869 42.4530128, -76.5160495 42.4530561, -76.5161011 42.4531454, -76.5155548 42.4533161, -76.5155209 42.4532807, -76.5154373 42.4531887, -76.515375 42.4532006, -76.515133 42.4527685, -76.5151846 42.4527501, -76.5153697 42.4526517))",POINT (-76.5155983 42.4529899),3279.1,35295.9
,413,300405632,,,parking,,,"POLYGON ((-76.5127022 42.4580972, -76.5128872 42.458515, -76.5127404 42.4585509, -76.5125554 42.4581331, -76.5127022 42.4580972))",POINT (-76.5127213 42.4583241),620.6,6679.9
,414,300405633,,,,pitch,,"POLYGON ((-76.5135217 42.4535598, -76.5133904 42.4535983, -76.5132821 42.4533973, -76.5134135 42.4533588, -76.5135217 42.4535598))",POINT (-76.5134019 42.4534785),279.1,3004.2
,415,300405634,,,,pitch,,"POLYGON ((-76.5137982 42.4556158, -76.5131161 42.455769, -76.5129693 42.4554133, -76.5136514 42.4552601, -76.5137982 42.4556158))",POINT (-76.5133838 42.4555145),2420.5,26053.8
,416,300405635,,,,swimming_pool,,"POLYGON ((-76.5137941 42.4526299, -76.5138997 42.4528168, -76.5133346 42.4529904, -76.5132291 42.4528035, -76.5137941 42.4526299))",POINT (-76.5135644 42.4528102),1131.5,12179.8
,417,300405637,,,,pitch,,"POLYGON ((-76.5140121 42.4534126, -76.5138808 42.4534511, -76.5137725 42.4532501, -76.5139039 42.4532116, -76.5140121 42.4534126))",POINT (-76.5138923 42.4533313),279.1,3004.3
,418,300405638,,,,pitch,,"POLYGON ((-76.5136849 42.4535115, -76.5135536 42.45355, -76.5134453 42.453349, -76.5135767 42.4533105, -76.5136849 42.4535115))",POINT (-76.5135651 42.4534302),279.1,3004.2
,419,300405639,,,,pitch,,"POLYGON ((-76.5138523 42.4534628, -76.5137209 42.4535013, -76.5136127 42.4533002, -76.513744 42.4532618, -76.5138523 42.4534628))",POINT (-76.5137325 42.4533815),279.1,3004.4
,420,300405640,,,parking,,,"POLYGON ((-76.514062 42.4560331, -76.5128892 42.4560843, -76.512802 42.4560857, -76.5126898 42.4562117, -76.5127557 42.4567488, -76.5138912 42.4566805, -76.5140976 42.4565623, -76.514062 42.4560331))",POINT (-76.5133927 42.4563834),7923.4,85286.6
,421,300405645,,,parking,,,"POLYGON ((-76.5126398 42.4569991, -76.5129877 42.4571048, -76.5129616 42.4571516, -76.5128807 42.457127, -76.5128196 42.4572365, -76.5127121 42.4572038, -76.5127732 42.4570944, -76.5126136 42.4570459, -76.5126398 42.4569991))",POINT (-76.5127989 42.4571131),299.5,3224.2
,422,300405649,,yes,,,,"POLYGON ((-76.5124631 42.4572514, -76.5125134 42.4571644, -76.5125389 42.4571724, -76.5125786 42.4571037, -76.5126946 42.4571401, -76.512655 42.4572089, -76.5127424 42.4572363, -76.5126922 42.4573233, -76.5126352 42.4573054, -76.5125804 42.4574003, -76.5124665 42.4573646, -76.5125213 42.4572697, -76.5124631 42.4572514))",POINT (-76.5125912 42.4572513),417.5,4493.7
,423,300405650,,yes,toilets,,,"POLYGON ((-76.5153546 42.4576168, -76.515088 42.4575031, -76.5151601 42.4574111, -76.5154267 42.4575248, -76.5153546 42.4576168))",POINT (-76.5152574 42.4575139),298.8,3215.9
Visitor Parking,424,309134714,,,parking,,,"POLYGON ((-76.5006405 42.4213304, -76.5007425 42.4210017, -76.5000826 42.4208968, -76.5000317 42.4210948, -76.4998386 42.4210671, -76.4998064 42.4212017, -76.5006405 42.4213304))",POINT (-76.5003177 42.4211179),2307.4,24837.0
Bames Hall,425,310881322,,university,,,,"POLYGON ((-76.4841372 42.446493, -76.4842133 42.4464897, -76.4842155 42.4465234, -76.484448 42.4465138, -76.4844437 42.4464585, -76.4845404 42.4464569, -76.4845697 42.4464481, -76.4845936 42.4464336, -76.4846066 42.4464064, -76.4846023 42.4463903, -76.4845871 42.4463703, -76.4845643 42.4463599, -76.4845534 42.4463534, -76.4845512 42.4463085, -76.4843959 42.4463166, -76.4843991 42.4463406, -76.4843274 42.4463446, -76.4843241 42.4463294, -76.4843154 42.4463174, -76.4842948 42.4463069, -76.4842785 42.4462997, -76.4842535 42.4462997, -76.4842383 42.4463061, -76.4842209 42.4463117, -76.4842057 42.4463246, -76.4841938 42.4463518, -76.4841275 42.446355, -76.4841372 42.446493))",POINT (-76.4843502 42.4464109),703.7,7575.1
McGraw Tower,426,310881323,,yes,,,,"POLYGON ((-76.4850822 42.4476014, -76.4850809 42.4475377, -76.4850029 42.4475386, -76.4850042 42.4476022, -76.4850822 42.4476014))",POINT (-76.4850426 42.44757),45.3,488.1
Willard Straight Hall,427,310881325,,university,community_centre,,,"POLYGON ((-76.4853119 42.4467783, -76.4853822 42.4467757, -76.4853861 42.446832, -76.4856187 42.4468233, -76.4856217 42.4468666, -76.4857939 42.4468601, -76.4857887 42.4467843, -76.4860045 42.4467763, -76.4860017 42.4467537, -76.4859952 42.4466504, -76.4858312 42.4466559, -76.4858045 42.4462657, -76.4853799 42.4462815, -76.4854053 42.4466523, -76.4853035 42.4466561, -76.4853119 42.4467783))",POINT (-76.4856226 42.4465766),2507.2,26987.7
Sage Hall,428,310881940,,university,,,,"POLYGON ((-76.483341 42.4461446, -76.4833403 42.446132, -76.4835238 42.4461263, -76.4835243 42.4461359, -76.4836268 42.4461328, -76.4836264 42.4461244, -76.4836602 42.4461234, -76.4836567 42.4460622, -76.4836374 42.4460628, -76.4836293 42.4459186, -76.4836457 42.4459181, -76.4836422 42.445856, -76.4836253 42.4458565, -76.4836177 42.4457211, -76.4836295 42.4457208, -76.4836259 42.4456577, -76.4834648 42.4456626, -76.4834658 42.4456816, -76.4832077 42.4456895, -76.4832066 42.4456695, -76.483128 42.4456719, -76.4831299 42.4457071, -76.4829558 42.4457124, -76.4829504 42.4456169, -76.4828399 42.4456203, -76.4828614 42.4460027, -76.4828247 42.4460038, -76.4828299 42.4460952, -76.4828008 42.4460961, -76.4828065 42.4461973, -76.4832279 42.4461844, -76.4832259 42.4461481, -76.483341 42.4461446))",POINT (-76.4832227 42.4459227),3541.4,38119.1
Newman Laboratory Annex,429,311202436,,university,,,,"POLYGON ((-76.4801878 42.4504566, -76.480304 42.450535, -76.4802256 42.4505608, -76.4801274 42.4505722, -76.4801306 42.4506202, -76.4801892 42.4506184, -76.4802524 42.4506208, -76.4803147 42.4506348, -76.4803979 42.4506613, -76.4805026 42.4505751, -76.4805622 42.4506153, -76.4807393 42.4504724, -76.4805514 42.4503456, -76.4803783 42.4504852, -76.4802552 42.4504022, -76.4801878 42.4504566))",POINT (-76.4804436 42.4505141),854.7,9200.3
Milstein Hall,430,311206871,,university,,,,"POLYGON ((-76.4833221 42.4508828, -76.4832723 42.4508843, -76.4832017 42.4508864, -76.4832155 42.4511252, -76.483217 42.4511478, -76.4832242 42.451278, -76.4832311 42.4514076, -76.4832314 42.4514196, -76.4838791 42.4513999, -76.4838782 42.4513711, -76.4838713 42.4512613, -76.4839915 42.4512577, -76.483984 42.4511221, -76.4838643 42.4511257, -76.4838576 42.4510051, -76.4833298 42.4510211, -76.4833221 42.4508828))",POINT (-76.4835502 42.4511963),2638.9,28405.4
Schwartz Center for the Performing Arts,431,315989357,,university,theatre,,,"POLYGON ((-76.485454 42.4426935, -76.4863921 42.4426729, -76.4863893 42.4426024, -76.4862731 42.442605, -76.4862593 42.4422634, -76.4859718 42.4422697, -76.4859692 42.4422049, -76.4858475 42.4422076, -76.4858538 42.4423636, -76.4856717 42.4423676, -76.4856726 42.4423916, -76.4855349 42.4423946, -76.4855351 42.4424, -76.4854172 42.4424026, -76.485427 42.4426456, -76.4854521 42.442645, -76.485454 42.4426935))",POINT (-76.485893 42.4424978),2898.8,31202.5
Minn's Garden,432,316156328,,,,garden,,"POLYGON ((-76.4778306 42.4476277, -76.4778333 42.4479137, -76.4771855 42.4479118, -76.4771158 42.4478049, -76.4770822 42.4477317, -76.4770621 42.4476188, -76.4778306 42.4476277))",POINT (-76.4774675 42.4477639),1912.5,20585.6
Judith Eissner Pavilion,433,318109997,,pavilion,,,,"POLYGON ((-76.4854455 42.4426892, -76.4853954 42.4426894, -76.4853597 42.4427159, -76.4853599 42.4427516, -76.4853953 42.4427776, -76.4854454 42.4427775, -76.4854807 42.4427513, -76.4854805 42.4427149, -76.4854455 42.4426892))",POINT (-76.4854203 42.4427334),80.5,866.5
J Lot (Red Section),434,321381932,,,parking,,,"POLYGON ((-76.4939583 42.4200667, -76.4938156 42.4200727, -76.4935635 42.4200826, -76.4932296 42.4200767, -76.492952 42.4200598, -76.4924889 42.420018, -76.4923779 42.4199757, -76.4922429 42.4203355, -76.4926121 42.4203936, -76.4930933 42.4204394, -76.4935186 42.4204595, -76.4938106 42.4204584, -76.4940217 42.4204493, -76.494009 42.4203717, -76.4939583 42.4200667))",POINT (-76.4931576 42.4202457),5717.8,61546.4
Clinton Ford Observatory,435,321385152,,yes,,,,"POLYGON ((-76.4940118 42.4175843, -76.4940683 42.4175027, -76.494139 42.4175294, -76.4940825 42.417611, -76.4940118 42.4175843))",POINT (-76.4940754 42.4175568),66.5,715.6
,436,321385153,,yes,,,,"POLYGON ((-76.4937008 42.4184553, -76.493665 42.4184603, -76.4936344 42.418475, -76.4936138 42.4184972, -76.4936063 42.4185235, -76.493613 42.4185499, -76.4936329 42.4185725, -76.4936629 42.4185877, -76.4936986 42.4185933, -76.4937344 42.4185883, -76.493765 42.4185736, -76.4937856 42.4185514, -76.4937931 42.4185251, -76.4937864 42.4184987, -76.4937665 42.4184761, -76.4937365 42.4184609, -76.4937008 42.4184553))",POINT (-76.4936997 42.4185243),180.2,1939.2
Statler Hall,437,321746407,,university,,,,"POLYGON ((-76.4822748 42.4460047, -76.4822658 42.4458097, -76.4824218 42.4458057, -76.482397 42.4452728, -76.481701 42.4452904, -76.4817227 42.4457582, -76.481806 42.4457561, -76.4818087 42.445814, -76.4819009 42.4458116, -76.4819203 42.4462273, -76.4819522 42.4462265, -76.4822847 42.4462181, -76.4822748 42.4460047))",POINT (-76.4820739 42.4456815),4696.3,50550.8
The Statler Hotel,438,321746408,,hotel,,,,"POLYGON ((-76.4819522 42.4462265, -76.4819685 42.4465763, -76.4819741 42.4466972, -76.4824049 42.4466863, -76.4823941 42.4464536, -76.4825064 42.4464507, -76.4824996 42.446305, -76.4824192 42.4463071, -76.4824143 42.4462005, -76.4825165 42.4461979, -76.4825073 42.4459988, -76.4822748 42.4460047, -76.4822847 42.4462181, -76.4819522 42.4462265))",POINT (-76.4822356 42.4463871),2470.5,26592.0
Uris Library,439,321746495,,university,library,,,"POLYGON ((-76.4850042 42.4476022, -76.4850061 42.4476621, -76.4849559 42.4477055, -76.4849571 42.4477533, -76.4850094 42.4477894, -76.485011 42.4478474, -76.485116 42.4478459, -76.4851175 42.4479044, -76.4851887 42.4479034, -76.4851903 42.4479635, -76.4854604 42.4479597, -76.4854592 42.4479147, -76.4854893 42.4478913, -76.4854885 42.4478624, -76.4854572 42.4478399, -76.4854558 42.4477855, -76.4856169 42.4477832, -76.4856104 42.4475349, -76.485215 42.4475406, -76.4852165 42.4475993, -76.4850822 42.4476014, -76.4850042 42.4476022))",POINT (-76.485306 42.447732),1876.5,20198.1
Klarman Hall,440,321748525,,university,,,,"POLYGON ((-76.4830551 42.4485545, -76.4830495 42.4484999, -76.4829296 42.4485119, -76.4829852 42.4496275, -76.4830828 42.4496259, -76.483064 42.4494769, -76.4834066 42.4494622, -76.4833946 42.4491818, -76.4833093 42.4491782, -76.4832388 42.449133, -76.4832134 42.4490769, -76.483237 42.4490064, -76.483293 42.4489684, -76.483385 42.4489592, -76.4833746 42.4487166, -76.4830626 42.4487299, -76.4830551 42.4485545))",POINT (-76.4831407 42.449079),3033.7,32654.2
Flora Rose House,441,324135849,,dormitory,,,,"POLYGON ((-76.4893331 42.4478649, -76.4893651 42.447792, -76.4893054 42.4477696, -76.4893236 42.4477351, -76.4890741 42.4476782, -76.4888085 42.447736, -76.4884382 42.447822, -76.488446 42.4478527, -76.4883811 42.447861, -76.4883793 42.4479339, -76.4884997 42.4479422, -76.4886661 42.4479013, -76.4886843 42.447939, -76.4886054 42.4479576, -76.4886262 42.4480042, -76.4885231 42.4480573, -76.4887085 42.4481787, -76.4890455 42.4480336, -76.4889701 42.4479569, -76.4889259 42.4479742, -76.4888688 42.4478578, -76.4889122 42.4478465, -76.4890611 42.4478144, -76.4893331 42.4478649))",POINT (-76.4888334 42.4478951),1933.5,20811.6
Hans Bethe House,442,324135852,,dormitory,,,,"POLYGON ((-76.4892605 42.4473176, -76.4892562 42.4472856, -76.4893255 42.4472716, -76.4893168 42.4472064, -76.4891548 42.447214, -76.4891583 42.4472013, -76.4888092 42.447223, -76.4887831 42.4472159, -76.4886255 42.4471731, -76.4886714 42.446927, -76.4888871 42.4469015, -76.4888646 42.4468203, -76.488804 42.4468171, -76.4887944 42.4467806, -76.4886134 42.4468011, -76.488285 42.4467374, -76.4881716 42.4467154, -76.4878857 42.4467449, -76.4878909 42.446773, -76.4878251 42.4467909, -76.4878372 42.4468663, -76.4881517 42.4468382, -76.4882405 42.4468562, -76.4884479 42.4468983, -76.4884523 42.447037, -76.4884064 42.4471309, -76.4883795 42.4471252, -76.488344 42.4471987, -76.4883986 42.4472249, -76.4883864 42.4472498, -76.4887137 42.4473322, -76.4887901 42.4473515, -76.4892605 42.4473176))",POINT (-76.4885764 42.4470306),2680.6,28853.4
Lofts @ Six Mile Creek,443,329584506,,apartments,,,,"POLYGON ((-76.4983163 42.4377773, -76.4981257 42.4377831, -76.4981065 42.437438, -76.4981907 42.4374354, -76.4981846 42.4373263, -76.498291 42.437323, -76.4983163 42.4377773))",POINT (-76.4982158 42.4375734),708.0,7620.4
,444,329585777,,,parking,,,"POLYGON ((-76.49964 42.4385238, -76.4998476 42.4385192, -76.4998356 42.4379159, -76.4997108 42.437918, -76.499716 42.4380582, -76.4997136 42.4380822, -76.4996962 42.4380975, -76.4996792 42.4381045, -76.4991801 42.4381176, -76.499183 42.4381814, -76.4995252 42.4381712, -76.499554 42.4381503, -76.4996287 42.4381491, -76.49964 42.4385238))",POINT (-76.499678 42.4382282),1255.3,13512.4
,445,329585778,,,parking,,,"POLYGON ((-76.4997958 42.4373336, -76.4997798 42.4369346, -76.4994182 42.4369491, -76.499428 42.4373508, -76.4997958 42.4373336))",POINT (-76.4996053 42.4371426),1335.3,14373.1
,446,330453180,,,parking,,,"POLYGON ((-76.4742902 42.445421, -76.4742374 42.4452696, -76.4740456 42.4452731, -76.4729523 42.4454648, -76.4729915 42.4455867, -76.47304 42.4455806, -76.4730525 42.4456329, -76.4733828 42.4455731, -76.4742902 42.445421))",POINT (-76.4736232 42.4454408),2128.0,22906.0
